"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"BZO","BZO","TSF","QPA","FRL","TRS","675","A321"
"BLQ","BLQ","FRL","RMI","VRN","VBS","490","A330"
"TSF","TSF","VCE","VIC","VBS","TRS","527","737"
"FRL","FRL","RMI","SAY","QPA","TRS","774","747"
"VBS","VBS","VRN","VIC","RMI","CIA","976","757"
"TRS","TRS","VCE","QPA","VIC","FCO","1046","767"
"RMI","RMI","SAY","EBA","VRN","QPA","772","777"
"VIC","VIC","VRN","VCE","CIA","QLT","1078","BAE146"
"QPA","QPA","VCE","SAY","FCO","NAP","1222","DC8"
"VRN","VRN","PSA","SAY","EBA","CIA","1020","F50"
"VCE","VCE","FLR","FCO","CIA","QLT","955","MD11"
"SAY","SAY","GRS","EBA","FCO","NAP","881","A400M"
"CIA","CIA","QLT","PEG","PSA","EBA","720","C212"
"FCO","FCO","QLT","NAP","AOI","FLR","922","V22"
"EBA","EBA","GRS","PSA","NAP","QSR","1143","BB1"
"QLT","QLT","PEG","FLR","PSA","AOT","1348","BA10"
"NAP","NAP","TQR","AOI","FLR","GRS","1038","SIS99"
"PSA","PSA","GRS","PEG","QSR","FNU","1561","SAH"
"FLR","FLR","PEG","AOI","VIF","AOT","1715","A319"
"GRS","GRS","AOI","TQR","QSR","MIL","1667","A320"
"PEG","PEG","QSR","CIY","FNU","AOT","2513","A321"
"AOI","AOI","TQR","VIF","AOT","OCJ","9321","A330"
"QSR","QSR","TQR","FNU","MIL","KIN","9777","737"
"AOT","AOT","FNU","CIY","VIF","MBJ","10868","747"
"TQR","TQR","VIF","MIL","POT","OCJ","9072","757"
"FNU","FNU","CIY","MIL","KTP","KIN","10012","767"
"VIF","VIF","CIY","OCJ","MBJ","NEG","9559","777"
"MIL","OCJ","KIN","NRT","POT","MIL","cant complete trip","BAE146"
"CIY","KIN","MBJ","MMJ","KTP","CIY","cant complete trip","DC8"
"OCJ","MBJ","POT","IBR","NEG","OCJ","cant complete trip","F50"
"KIN","KIN","POT","KTP","NRT","IWO","223","MD11"
