"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"HKD","MMB","SHB","MBE","IKI","HKD","25","737"
"SPK","AKJ","SHB","WKJ","UBJ","SPK","25","747"
"MMB","WKJ","IKI","TSJ","OIR","MMB","25","757"
"SHB","IKI","UBJ","RIS","MBE","SHB","27","767"
"WKJ","TSJ","KUM","UBJ","AKJ","WKJ","30","777"
"IKI","TSJ","MBE","OIR","FUJ","IKI","26","BAE146"
"UBJ","FUK","AKJ","MBE","RIS","UBJ","23","DC8"
"TSJ","OIR","AKJ","TNE","KUM","TSJ","27","F50"
"MBE","RIS","OIR","FUJ","KOJ","MBE","27","MD11"
"AKJ","RIS","KUM","KMI","FUK","AKJ","28","A400M"
"OIR","FUJ","KUM","TNE","OIT","OIR","23","C212"
"RIS","FUJ","KOJ","FUK","KKJ","RIS","27","V22"
"KUM","FUK","KMJ","KMI","TNE","KUM","3","BB1"
"FUJ","TNE","KOJ","OIT","NGS","FUJ","5","BA10"
"FUK","KOJ","KMI","ASJ","KKJ","FUK","8","SIS99"
"TNE","KMI","OIT","KMJ","TKN","TNE","8","SAH"
"KOJ","OIT","KKJ","KMQ","NGS","KOJ","11","A319"
"KMI","OKI","KKJ","KMJ","ASJ","KMI","11","A320"
"OIT","KMJ","NGS","TKN","TOY","OIT","17","A321"
"KKJ","NGS","ASJ","HIJ","KMQ","KKJ","16","A330"
"KMJ","ASJ","TKN","OKI","OKJ","KMJ","13","737"
"NGS","TKN","TOY","KMQ","IZO","NGS","18","747"
"ASJ","KMQ","OKI","YGJ","HIJ","ASJ","15","757"
"TKN","OKI","TOY","OKJ","KCZ","TKN","18","767"
"KMQ","TOY","HIJ","MYJ","IZO","KMQ","6","777"
"OKI","ITM","HIJ","OKJ","YGJ","OKI","2","BAE146"
"TOY","OKJ","IZO","TTJ","KCZ","TOY","6","DC8"
"HIJ","IZO","YGJ","TKS","MYJ","HIJ","2","F50"
"OKJ","YGJ","ITM","KCZ","TAK","OKJ","2","MD11"
"IZO","MYJ","KCZ","AOJ","TTJ","IZO","14","A400M"
"YGJ","MYJ","TKS","ITM","GAJ","YGJ","11","C212"
